beta_3,beta_4,sigma_3,sigma_4,time
4.0951620094893054e-16,1.076105120125457e-14,7.589718562385986e-14,7.589849292961708e-14,9510992.367465254
5.5829353098446165e-15,-1.3847706464801185e-15,7.77301421720941e-14,7.772476351601909e-14,9513804.760621807
8.09722512852811e-15,-5.230013485274076e-15,9.112269739564652e-14,9.112995537941645e-14,9516617.215247842
-5.9813093021530265e-15,-2.462121484528674e-15,1.0571932108988957e-13,1.057135842536148e-13,9519429.447246993
4.7789322637958655e-15,-5.538534943156567e-15,9.785351899996939e-14,9.786086460549238e-14,9522241.853800407
-1.1712944859085058e-14,-4.2574158206395e-15,1.280889808907651e-13,1.280923174071004e-13,9525054.165669499
1.3715528544643012e-14,1.797214366617723e-15,9.229766058518681e-14,9.22982942418146e-14,9527866.476594802
-2.9687984876702404e-16,-7.19557863413398e-15,1.1922002813043131e-13,1.1922100136298601e-13,9530679.05354166
-1.6829546243482015e-15,-8.1071980039951e-15,1.0346498291853744e-13,1.0346264438681746e-13,9533491.215633864
-4.922166283590618e-16,-5.585251064462977e-15,8.62270711771907e-14,8.624169934788263e-14,9536303.391386855
7.223464335722365e-15,2.9456029274596003e-15,1.0282119388220342e-13,1.0281149537239736e-13,9539115.975980258
8.523409202212612e-15,-1.4048522587904675e-14,7.946971074731455e-14,7.946175419101032e-14,9541928.347610312
-2.736030123489237e-15,1.0987413206175622e-14,8.08013673354199e-14,8.078792487963816e-14,9544740.49521127
4.8172139485547937e-14,3.526248433476455e-14,1.921210148093399e-13,1.9213582932157037e-13,9547554.425375918
-3.32194946533869e-15,-2.4215737218619876e-15,7.798534554523835e-14,7.798134592954622e-14,9550369.855256494
4.837605185784572e-15,3.880466218806591e-15,7.206438856387033e-14,7.205727160146212e-14,9553182.057351572
3.531693865995273e-15,3.9221906486050717e-16,7.314209279901394e-14,7.314122390921433e-14,9555994.596227085
8.014531219757833e-15,3.23994349534641e-15,7.577430018494069e-14,7.57797289369393e-14,9558806.834943738
-4.4687444509177696e-15,-5.323586643851335e-16,7.91018610596048e-14,7.910425212692912e-14,9561619.309210435
7.374769044167594e-15,1.6203604980110376e-15,7.88404809889226e-14,7.883512365483759e-14,9564431.629862871
7.73280016990732e-15,-9.609673510270994e-15,7.429003073366109e-14,7.427684304185112e-14,9567244.003120113
1.619356421948518e-14,-1.4410014375153474e-15,1.0400709505856926e-13,1.0400492016014645e-13,9570056.377063608
1.141484445914386e-14,1.6304526156768723e-15,8.021030822965138e-14,8.020756172676407e-14,9572868.733414963
7.656226149547284e-15,-5.1220998473658595e-15,7.530656740536543e-14,7.53153546280898e-14,9575681.195855817
-6.2247616579111045e-16,1.635145831338661e-15,7.293833747920107e-14,7.293464605517126e-14,9578493.275598807
-1.2823707792703564e-14,8.346175147777949e-15,7.636393913043508e-14,7.636475245502402e-14,9581305.751020122
9.113221123907877e-17,2.4363698088255425e-15,8.12091496104585e-14,8.121260210051721e-14,9584118.129008435
-4.865099452364739e-15,8.87156589024582e-15,1.2407687697659144e-13,1.2407634700823421e-13,9586930.5078331
8.494248874721727e-16,-8.618090591092726e-15,9.395963655700998e-14,9.395787564170305e-14,9589742.703184234
8.752170366313318e-17,4.892292970558805e-15,8.320757002406359e-14,8.321509718310802e-14,9592555.174042126
-4.554120187318777e-15,4.830841115131353e-16,9.544033695090617e-14,9.543976172816417e-14,9595367.521462437
4.397103036460681e-15,6.197109178122128e-15,7.854735682652494e-14,7.855316655404343e-14,9598179.984781604
-2.1708602917918753e-16,-9.073440897715815e-15,9.112484868681326e-14,9.111712890747222e-14,9600992.32141555
-1.8427442272658977e-15,-3.243101191467523e-15,8.898889308309153e-14,8.899649570636079e-14,9603804.542358983
-1.9546559492482124e-15,-4.7360403956740275e-15,7.539159683965725e-14,7.539365342331026e-14,9606616.838018468
-6.739292980784509e-15,1.7730995789715126e-15,1.2333362307527445e-13,1.233499893405689e-13,9609429.31040966
3.765318184388635e-16,2.5999955404427944e-15,8.327584577407131e-14,8.327825492511765e-14,9612241.686411204
7.19222319573583e-15,-4.7172841451028115e-15,9.659378206254883e-14,9.658448438450876e-14,9615054.003209751
3.786100921685982e-15,5.208120864506526e-15,9.445383590331018e-14,9.445197932857968e-14,9617866.336265048
1.470959757980894e-14,8.59794073454494e-15,1.1935569750198276e-13,1.1936174032655108e-13,9620678.68198685
1.1380341693541094e-14,-2.965665614548873e-15,8.04748385175458e-14,8.04696350361832e-14,9623491.035139093
1.0960859569223817e-14,-3.6294737416212696e-14,1.3992027562010662e-13,1.3992202080374765e-13,9626304.18375872
8.504188431766967e-15,7.012677064927992e-15,7.838458818101896e-14,7.837553532904949e-14,9629116.852824014
2.7827447135622007e-15,3.4987739403546416e-16,7.994182484511871e-14,7.994285438316128e-14,9631929.164050018
8.112725103304918e-15,-1.2475346085106867e-14,8.774787361329926e-14,8.77447446810455e-14,9634741.381594028
-3.3267976658736713e-15,1.1555532921853596e-14,9.6855556704161e-14,9.686999406983919e-14,9637553.952391513
-4.378321904933907e-15,2.3040689720959413e-15,9.273252866482526e-14,9.271908351038434e-14,9640366.138698336
-6.351808594189606e-15,-3.9208451620398385e-16,1.0256872437683496e-13,1.0256729594305118e-13,9643178.642653923
7.654299860694276e-15,-3.303316644571203e-15,8.791742821243008e-14,8.792015604071877e-14,9645991.086320436
-5.797436356597257e-15,1.827467266781167e-15,7.910003078859279e-14,7.909930425264139e-14,9648803.233557126
-1.0164551073480979e-14,8.654548400032132e-16,8.671363180363404e-14,8.67111413465201e-14,9651615.605508681
