beta_3,beta_4,sigma_3,sigma_4,time
-9.209712766997196e-06,-1.0503082973177418e-06,1.2496472759578235e-06,1.249707531475051e-06,1510990.3642461074
-1.4088157150582516e-07,9.58157928146342e-06,1.2738668496357017e-06,1.2739000962405355e-06,1513490.401608691
8.936480676104707e-06,-1.5682541802504563e-06,1.2328588502146482e-06,1.2328691893940796e-06,1515990.4159000458
-1.7600763095962305e-06,-1.324494288670213e-06,1.7666624555944139e-06,1.7665535381652527e-06,1518490.3921002054
-5.165321337766218e-06,2.2319994469496589e-07,1.512041585982894e-06,1.5119210052022356e-06,1520990.4541834581
5.8707065549789035e-06,4.9113352736466684e-08,1.207118673650247e-06,1.2070858472151558e-06,1523490.4483684138
-2.396042206730566e-06,-8.971967535340076e-06,1.2759574366426129e-06,1.2758721721850803e-06,1525990.4585031872
-9.038067295589977e-06,-1.2693461848970294e-06,1.2515749657714142e-06,1.2515121868663603e-06,1528490.4406608974
5.543985876176631e-06,-7.171986780816951e-07,1.253375938415986e-06,1.253407063308108e-06,1530990.4822201151
-7.224778428685857e-06,1.820961631030098e-06,1.4611384546445807e-06,1.4611569914154837e-06,1533490.477737549
3.43736584094209e-06,-3.0965011374521017e-07,1.3644924769256904e-06,1.3644109337406282e-06,1535990.4405116872
-2.803133450733214e-06,6.322073664768157e-06,1.1751956948882924e-06,1.175243481926375e-06,1538490.4992677886
7.559606713219525e-06,5.074449680186457e-06,1.3744221327094741e-06,1.3744102447083159e-06,1540990.7662211144
-2.042510469417291e-07,-5.33197283053592e-06,1.2268440599906898e-06,1.2267873482745758e-06,1543491.4567854123
-4.312400601262214e-06,-6.738339710472565e-06,1.4430809928231503e-06,1.443197094428866e-06,1545991.6273922587
-2.922326440816046e-07,-4.555414958844747e-07,1.4596960821199773e-06,1.4598271388978015e-06,1548491.5838070114
1.4059412662795276e-06,8.973126395708248e-06,1.2357409912078702e-06,1.2357061609069677e-06,1550991.5300267693
1.8931417855528084e-06,-3.872421407958417e-06,1.1996050987161212e-06,1.1996230952512003e-06,1553491.4898055263
9.702457767558408e-07,7.632801366247507e-06,1.3505284547659373e-06,1.3505947405823572e-06,1555991.5159745452
7.507162943051329e-07,-5.256488920517479e-06,1.4330565923188573e-06,1.432982432342807e-06,1558491.5083291903
4.1467434226000684e-06,6.822228102465833e-07,1.2161495461218068e-06,1.2161380926352717e-06,1560991.5632285262
-4.355596488121786e-06,2.6691518714263195e-06,1.7923153177798863e-06,1.792379958750414e-06,1563491.585119381
9.743690554472706e-06,-6.806300687725895e-07,1.4825679821320462e-06,1.4826468716332155e-06,1565991.6054932775
1.813666218247992e-06,-5.433572961401752e-06,1.5483006393912839e-06,1.548210313105364e-06,1568491.5548283588
-2.836260701907788e-06,2.7496344836881344e-06,1.3608503860497704e-06,1.3608288399088186e-06,1570991.5777553935
-4.79009638325046e-06,-4.841113881227928e-06,1.2091868069660015e-06,1.2091946752461874e-06,1573491.5725476823
1.4643989589408483e-06,8.585279434834897e-06,1.2934801941755255e-06,1.2935077448410592e-06,1575991.5855232517
9.835753246812458e-06,-1.908967037142375e-06,1.1448584773814878e-06,1.1448518012686933e-06,1578491.6145941387
2.6375773248721037e-06,-3.4556088834733145e-06,1.2243212658606912e-06,1.224344735335247e-06,1580991.649922898
2.7639118381350364e-06,-2.329694164036987e-06,1.359906505007374e-06,1.3598841165618129e-06,1583491.609035872
-5.578205644036025e-06,-3.693243930913613e-06,1.3172980647745788e-06,1.3173000657469854e-06,1585991.7048576812
6.849029089526132e-06,-4.104898729163236e-07,1.2334218865740231e-06,1.2333931232658452e-06,1588491.7211051658
-2.9499363004803925e-06,-8.31713151292218e-06,1.0747425082614555e-06,1.0747646265648728e-06,1590991.6635759457
-5.374049354885528e-06,5.17463600727008e-06,1.2968520756114957e-06,1.296939465131766e-06,1593491.6930767808
5.032663294034378e-06,4.043356295648327e-06,1.2718115462867143e-06,1.27180605939283e-06,1595991.674816566
-6.082056547909764e-06,1.1196318576608112e-06,1.448588047801829e-06,1.4486208542000137e-06,1598491.756765823
2.7294133044580717e-06,4.433117407972118e-06,1.48310660393048e-06,1.4830894893301302e-06,1600991.684700354
-5.473246145710244e-06,5.030615156074209e-06,1.6769524863433385e-06,1.6769945468470564e-06,1603491.7265286408
5.576206995890202e-06,3.941418742562388e-06,1.5020227773788458e-06,1.5019966858218914e-06,1605991.581251579
1.7050837722704047e-06,1.304208099287772e-07,1.4604724777768565e-06,1.4605156681877473e-06,1608491.7025242357
2.8589506104661763e-06,4.37049106194366e-07,1.2492303233793099e-06,1.2491959292552493e-06,1610991.6663504252
7.336820060219481e-06,-1.8838671990778955e-06,1.5679395062239938e-06,1.5678374314061241e-06,1613491.7456732464
2.686834195549913e-06,2.6567128933726526e-06,1.3623084926357962e-06,1.362414327951232e-06,1615991.8189799304
3.221981086608781e-06,-8.444770206210588e-06,1.1686553423458253e-06,1.168708811778692e-06,1618491.761405053
-8.601487871018501e-06,-1.4891886949251393e-06,1.4751522383678612e-06,1.4750748664266483e-06,1620991.744315908
4.0806054297053096e-06,-3.040866022270581e-06,1.2771086567223631e-06,1.2771514608680808e-06,1623491.8197442668
-4.421225013408716e-06,4.185202836421725e-06,1.4665512639673446e-06,1.4664974098973049e-06,1625991.8525620787
6.513445609675805e-06,4.908314223362488e-06,1.5665234797350284e-06,1.5664793267147301e-06,1628491.8002226586
1.7163251152853871e-06,-4.75768438087272e-06,1.2007951689578846e-06,1.2008420162020434e-06,1630991.772251228
-1.2695829635481428e-06,8.451975729207884e-06,1.3477240398830222e-06,1.3478096648946745e-06,1633491.853353391
3.63851461517553e-06,5.18527179736261e-06,1.164700050108954e-06,1.1646523434939052e-06,1635991.7473256565
-1.23570339866031e-06,7.676752351855685e-06,1.195970478649034e-06,1.1959986297110012e-06,1638491.8282463914
3.438004458376987e-06,-8.578655372521438e-06,1.1880196449070632e-06,1.187964580917713e-06,1640991.8832769014
-1.0703234763881835e-06,-4.3388764257759e-06,1.6076272353485664e-06,1.6076476381283897e-06,1643491.8154162935
1.0874687499776113e-06,3.7444454383698436e-07,1.3727407171328984e-06,1.3726942483129453e-06,1645991.9005854214
1.9827471391856e-06,-1.8776026826791203e-06,1.7301672331723363e-06,1.730057151358542e-06,1648491.8799822112
-9.313508674549346e-06,2.657016059474708e-06,1.2838354759765391e-06,1.2837812927608152e-06,1650991.8938360023
-1.5048284417454776e-07,4.628453668774107e-06,1.3592230585544225e-06,1.3592248831081962e-06,1653491.8187242835
-1.5891736680452516e-06,-1.7913337139429246e-06,1.482329132638903e-06,1.4822183964460543e-06,1655991.6133648802
3.235411563701351e-06,1.2294942309633391e-06,1.5079694189822912e-06,1.5079409312859589e-06,1658492.5652398348
2.0066284801689394e-06,-2.776674474834343e-06,1.358081021371783e-06,1.358107012265472e-06,1660991.1055657463
7.391410484818551e-07,6.37383969207327e-07,1.4790457390162407e-06,1.4788411321697855e-06,1663492.6978368708
2.2213626526813729e-07,4.7454800188901166e-07,1.837346377482054e-06,1.8373793197295827e-06,1665991.91833864
6.555653961034646e-07,8.132331733432096e-08,1.5999470575966653e-06,1.5997880016263323e-06,1668491.9723135254
1.908290183301628e-06,1.3842981399295503e-07,1.4941999158007185e-06,1.494077894391499e-06,1670992.2765792946
3.8381131917864826e-07,2.0882731660922954e-07,1.3348820561440113e-06,1.3347941882989393e-06,1673491.9698365526
-1.3443718072182475e-06,-2.481444709301369e-06,1.3428905178648938e-06,1.3430393797105682e-06,1675991.4138227452
-2.71483944805514e-07,-5.058309022455923e-07,1.227318312538311e-06,1.2272317685068037e-06,1678492.257904733
3.954751939658725e-06,1.0831085116347767e-07,1.570082318580961e-06,1.5702455299979235e-06,1680992.078525787
-6.5453053434100066e-06,1.5400488831082223e-07,1.5159601063555746e-06,1.5158975579344903e-06,1683491.9810267068
2.4030372023434953e-06,2.859989779631152e-06,1.2543226522960185e-06,1.2542058595823097e-06,1685991.8619527481
-4.830117276461452e-06,2.0763851229895574e-06,1.3155211521908257e-06,1.3155379919701725e-06,1688492.06580272
1.968850354689623e-06,1.260515666374091e-06,1.3228025243805686e-06,1.322752226253102e-06,1690992.155515037
7.162963687455929e-07,3.537889140014468e-06,1.4529112550043357e-06,1.4528849207891605e-06,1693492.150950947
-1.2960725536051415e-06,2.8611492105418906e-06,1.374974641577037e-06,1.3749969554294796e-06,1695992.2955015833
-5.990968529451392e-06,-5.40846001293849e-06,1.2322908633848033e-06,1.2322285834691816e-06,1698492.0444673568
7.1127243868187385e-06,3.0003273151272425e-06,1.3638125568787361e-06,1.3636996300402454e-06,1700992.0956379257
-5.050163617672515e-06,-2.3990475173744658e-06,1.4395536501422958e-06,1.439514808662519e-06,1703491.9748805491
-5.664240226624721e-06,4.489983298232859e-06,1.7469367534158997e-06,1.7469397313056148e-06,1705992.05904759
8.448026998953702e-07,-4.464958119368157e-06,1.6748345365649758e-06,1.6747894745218142e-06,1708492.053411693
3.940296227052761e-06,1.4610751235691788e-06,1.7696197626266569e-06,1.7696505613935613e-06,1710991.830049287
